Storage length rank,Storage length,Parasite,Fridge or freezer,Dose,Sticker color,Rep,Total checked,Infected,Possible problem,,,,,
1,1 day,Metsch,Fridge,250,Red,1A,6,1,0,,,,,
1,1 day,Metsch,Fridge,250,Red,1B,6,1,0,,,,,
1,1 day,Metsch,Fridge,250,Red,2A,6,3,0,,,,,
1,1 day,Metsch,Fridge,250,Red,2B,6,3,0,,,,,
1,1 day,Metsch,Fridge,250,Red,3A,6,4,0,,,,,
1,1 day,Metsch,Fridge,250,Red,3B,6,3,0,,,,,
1,1 day,Metsch,Fridge,1000,Orange,1A,6,3,0,,,,,
1,1 day,Metsch,Fridge,1000,Orange,1B,6,4,0,,,,,
1,1 day,Metsch,Fridge,1000,Orange,2A,6,3,0,,,,,
1,1 day,Metsch,Fridge,1000,Orange,2B,6,3,0,,,,,
1,1 day,Metsch,Fridge,1000,Orange,3A,6,1,0,,,,,
1,1 day,Metsch,Fridge,1000,Orange,3B,6,3,0,,,,,
1,1 day,Metsch,Freezer,1000,Yellow,1A,6,0,0,,,,,
1,1 day,Metsch,Freezer,1000,Yellow,1B,6,0,0,,,,,
1,1 day,Metsch,Freezer,1000,Yellow,2A,6,1,0,,,,,
1,1 day,Metsch,Freezer,1000,Yellow,2B,6,0,0,,,,,
1,1 day,Metsch,Freezer,1000,Yellow,3A,6,0,0,,,,,
1,1 day,Metsch,Freezer,1000,Yellow,3B,6,0,0,,,,,
1,1 day,Pasteuria,Fridge,500,Blue,1A,6,0,0,,,,,
1,1 day,Pasteuria,Fridge,500,Blue,1B,6,0,0,,,,,
1,1 day,Pasteuria,Fridge,500,Blue,2A,6,1,0,,,,,
1,1 day,Pasteuria,Fridge,500,Blue,2B,6,0,0,,,,,
1,1 day,Pasteuria,Fridge,500,Blue,3A,6,0,0,,,,,
1,1 day,Pasteuria,Fridge,500,Blue,3B,6,0,0,,,,,
1,1 day,Pasteuria,Fridge,500,Blue,4A,6,1,0,,,,,
1,1 day,Pasteuria,Fridge,500,Blue,4B,7,0,0,,,,,
1,1 day,Pasteuria,Fridge,500,Blue,5A,6,0,0,,,,,
1,1 day,Pasteuria,Fridge,500,Blue,5B,6,1,0,,,,,
1,1 day,Pasteuria,Fridge,2000,Green,1A,6,0,0,,,,,
1,1 day,Pasteuria,Fridge,2000,Green,1B,6,3,0,,,,,
1,1 day,Pasteuria,Fridge,2000,Green,2A,6,0,0,,,,,
1,1 day,Pasteuria,Fridge,2000,Green,2B,6,0,0,,,,,
1,1 day,Pasteuria,Fridge,2000,Green,3A,6,3,0,,,,,
1,1 day,Pasteuria,Fridge,2000,Green,3B,6,3,0,,,,,
1,1 day,Pasteuria,Fridge,2000,Green,4A,6,2,0,,,,,
1,1 day,Pasteuria,Fridge,2000,Green,4B,6,3,0,,,,,
1,1 day,Pasteuria,Fridge,2000,Green,5A,6,1,0,,,,,
1,1 day,Pasteuria,Fridge,2000,Green,5B,6,2,0,,,,,
1,1 day,Pasteuria,Freezer,500,White,1A,6,1,0,,,,,
1,1 day,Pasteuria,Freezer,500,White,1B,6,0,0,,,,,
1,1 day,Pasteuria,Freezer,500,White,2A,6,0,0,,,,,
1,1 day,Pasteuria,Freezer,500,White,2B,6,0,0,,,,,
1,1 day,Pasteuria,Freezer,500,White,3A,6,0,0,,,,,
1,1 day,Pasteuria,Freezer,500,White,3B,6,0,0,,,,,
1,1 day,Pasteuria,Freezer,500,White,4A,6,2,0,,,,,
1,1 day,Pasteuria,Freezer,500,White,4B,6,0,0,,,,,
1,1 day,Pasteuria,Freezer,500,White,5A,7,1,0,,,,,
1,1 day,Pasteuria,Freezer,500,White,5B,6,0,0,,,,,
1,1 day,Pasteuria,Freezer,2000,Pink,1A,6,2,0,,,,,
1,1 day,Pasteuria,Freezer,2000,Pink,1B,6,0,0,,,,,
1,1 day,Pasteuria,Freezer,2000,Pink,2A,6,1,0,,,,,
1,1 day,Pasteuria,Freezer,2000,Pink,2B,6,2,0,,,,,
1,1 day,Pasteuria,Freezer,2000,Pink,3A,6,2,0,,,,,
1,1 day,Pasteuria,Freezer,2000,Pink,3B,6,2,0,,,,,
1,1 day,Pasteuria,Freezer,2000,Pink,4A,6,2,0,,,,,
1,1 day,Pasteuria,Freezer,2000,Pink,4B,6,2,0,,,,,
1,1 day,Pasteuria,Freezer,2000,Pink,5A,6,0,0,,,,,
1,1 day,Pasteuria,Freezer,2000,Pink,5B,6,1,0,,,,,
2,2 weeks,Metsch,Fridge,250,Red,1A,6,0,0,,,,,
2,2 weeks,Metsch,Fridge,250,Red,1B,6,0,0,,,,,
2,2 weeks,Metsch,Fridge,250,Red,2A,6,0,0,,,,,
2,2 weeks,Metsch,Fridge,250,Red,2B,6,0,0,,,,,
2,2 weeks,Metsch,Fridge,250,Red,3A,6,2,0,,,,,
2,2 weeks,Metsch,Fridge,250,Red,3B,6,4,0,,,,,
2,2 weeks,Metsch,Fridge,1000,Orange,1A,6,3,0,,,,,
2,2 weeks,Metsch,Fridge,1000,Orange,1B,6,2,0,,,,,
2,2 weeks,Metsch,Fridge,1000,Orange,2A,6,1,0,,,,,
2,2 weeks,Metsch,Fridge,1000,Orange,2B,6,0,0,,,,,
2,2 weeks,Metsch,Fridge,1000,Orange,3A,6,2,0,,,,,
2,2 weeks,Metsch,Fridge,1000,Orange,3B,6,2,0,,,,,
2,2 weeks,Metsch,Freezer,1000,Yellow,1A,6,0,0,,,,,
2,2 weeks,Metsch,Freezer,1000,Yellow,1B,6,0,0,,,,,
2,2 weeks,Metsch,Freezer,1000,Yellow,2A,6,0,0,,,,,
2,2 weeks,Metsch,Freezer,1000,Yellow,2B,6,0,0,,,,,
2,2 weeks,Metsch,Freezer,1000,Yellow,3A,6,0,0,,,,,
2,2 weeks,Metsch,Freezer,1000,Yellow,3B,6,0,0,,,,,
2,2 weeks,Pasteuria,Fridge,500,Blue,1A,6,1,0,,,,,
2,2 weeks,Pasteuria,Fridge,500,Blue,1B,6,2,0,,,,,
2,2 weeks,Pasteuria,Fridge,500,Blue,2A,6,0,0,,,,,
2,2 weeks,Pasteuria,Fridge,500,Blue,2B,6,0,0,,,,,
2,2 weeks,Pasteuria,Fridge,500,Blue,3A,6,1,0,,,,,
2,2 weeks,Pasteuria,Fridge,500,Blue,3B,6,1,0,,,,,
2,2 weeks,Pasteuria,Fridge,500,Blue,4A,6,1,1,,,,,
2,2 weeks,Pasteuria,Fridge,500,Blue,4B,6,0,1,,,,,
2,2 weeks,Pasteuria,Fridge,500,Blue,5A,6,0,0,,,,,
2,2 weeks,Pasteuria,Fridge,500,Blue,5B,6,0,0,,,,,
2,2 weeks,Pasteuria,Fridge,2000,Green,1A,6,1,0,,,,,
2,2 weeks,Pasteuria,Fridge,2000,Green,1B,6,0,0,,,,,
2,2 weeks,Pasteuria,Fridge,2000,Green,2A,6,1,0,,,,,
2,2 weeks,Pasteuria,Fridge,2000,Green,2B,6,1,0,,,,,
2,2 weeks,Pasteuria,Fridge,2000,Green,3A,6,1,0,,,,,
2,2 weeks,Pasteuria,Fridge,2000,Green,3B,6,2,0,,,,,
2,2 weeks,Pasteuria,Fridge,2000,Green,4A,6,0,1,,,,,
2,2 weeks,Pasteuria,Fridge,2000,Green,4B,6,0,1,,,,,
2,2 weeks,Pasteuria,Fridge,2000,Green,5A,6,0,0,,,,,
2,2 weeks,Pasteuria,Fridge,2000,Green,5B,6,3,0,,,,,
2,2 weeks,Pasteuria,Freezer,500,White,1A,6,0,0,,,,,
2,2 weeks,Pasteuria,Freezer,500,White,1B,6,1,0,,,,,
2,2 weeks,Pasteuria,Freezer,500,White,2A,6,0,0,,,,,
2,2 weeks,Pasteuria,Freezer,500,White,2B,6,2,0,,,,,
2,2 weeks,Pasteuria,Freezer,500,White,3A,6,1,0,,,,,
2,2 weeks,Pasteuria,Freezer,500,White,3B,6,0,0,,,,,
2,2 weeks,Pasteuria,Freezer,500,White,4A,6,1,0,,,,,
2,2 weeks,Pasteuria,Freezer,500,White,4B,6,0,0,,,,,
2,2 weeks,Pasteuria,Freezer,500,White,5A,6,1,0,,,,,
2,2 weeks,Pasteuria,Freezer,500,White,5B,6,0,0,,,,,
2,2 weeks,Pasteuria,Freezer,2000,Pink,1A,6,1,0,,,,,
2,2 weeks,Pasteuria,Freezer,2000,Pink,1B,6,0,0,,,,,
2,2 weeks,Pasteuria,Freezer,2000,Pink,2A,6,2,0,,,,,
2,2 weeks,Pasteuria,Freezer,2000,Pink,2B,6,1,0,,,,,
2,2 weeks,Pasteuria,Freezer,2000,Pink,3A,6,1,0,,,,,
2,2 weeks,Pasteuria,Freezer,2000,Pink,3B,6,0,0,,,,,
2,2 weeks,Pasteuria,Freezer,2000,Pink,4A,6,2,0,,,,,
2,2 weeks,Pasteuria,Freezer,2000,Pink,4B,6,3,0,,,,,
2,2 weeks,Pasteuria,Freezer,2000,Pink,5A,6,2,0,,,,,
2,2 weeks,Pasteuria,Freezer,2000,Pink,5B,6,1,0,,,,,
3,4 weeks,Metsch,Fridge,250,Red,1A,6,0,0,,,,,
3,4 weeks,Metsch,Fridge,250,Red,1B,6,0,0,,,,,
3,4 weeks,Metsch,Fridge,250,Red,2A,6,1,0,,,,,
3,4 weeks,Metsch,Fridge,250,Red,2B,6,2,0,,,,,
3,4 weeks,Metsch,Fridge,250,Red,3A,6,2,0,,,,,
3,4 weeks,Metsch,Fridge,250,Red,3B,6,0,0,,,,,
3,4 weeks,Metsch,Fridge,1000,Orange,1A,6,0,0,,,,,
3,4 weeks,Metsch,Fridge,1000,Orange,1B,6,0,0,,,,,
3,4 weeks,Metsch,Fridge,1000,Orange,2A,6,0,0,,,,,
3,4 weeks,Metsch,Fridge,1000,Orange,2B,6,0,0,,,,,
3,4 weeks,Metsch,Fridge,1000,Orange,3A,6,1,0,,,,,
3,4 weeks,Metsch,Fridge,1000,Orange,3B,6,1,0,,,,,
3,4 weeks,Pasteuria,Fridge,500,Blue,1A,6,1,0,,,,,
3,4 weeks,Pasteuria,Fridge,500,Blue,2A,6,1,0,,,,,
3,4 weeks,Pasteuria,Fridge,500,Blue,2B,6,0,0,,,,,
3,4 weeks,Pasteuria,Fridge,500,Blue,2C,6,0,0,,,,,
3,4 weeks,Pasteuria,Fridge,500,Blue,3A,6,0,0,,,,,
3,4 weeks,Pasteuria,Fridge,500,Blue,3B,6,0,0,,,,,
3,4 weeks,Pasteuria,Fridge,500,Blue,4A,6,0,0,,,,,
3,4 weeks,Pasteuria,Fridge,500,Blue,4B,6,0,0,,,,,
3,4 weeks,Pasteuria,Fridge,500,Blue,5A,6,0,0,,,,,
3,4 weeks,Pasteuria,Fridge,500,Blue,5B,6,1,0,,,,,
3,4 weeks,Pasteuria,Fridge,2000,Green,1A,6,1,0,,,,,
3,4 weeks,Pasteuria,Fridge,2000,Green,1B,6,0,0,,,,,
3,4 weeks,Pasteuria,Fridge,2000,Green,2A,6,1,0,,,,,
3,4 weeks,Pasteuria,Fridge,2000,Green,2B,6,0,0,,,,,
3,4 weeks,Pasteuria,Fridge,2000,Green,3A,6,0,0,,,,,
3,4 weeks,Pasteuria,Fridge,2000,Green,3B,6,1,0,,,,,
3,4 weeks,Pasteuria,Fridge,2000,Green,4A,6,0,0,,,,,
3,4 weeks,Pasteuria,Fridge,2000,Green,4B,6,1,0,,,,,
3,4 weeks,Pasteuria,Fridge,2000,Green,5A,6,2,0,,,,,
3,4 weeks,Pasteuria,Fridge,2000,Green,5B,6,0,0,,,,,
3,4 weeks,Pasteuria,Freezer,500,White,1A,6,0,0,,,,,
3,4 weeks,Pasteuria,Freezer,500,White,1B,6,0,0,,,,,
3,4 weeks,Pasteuria,Freezer,500,White,2A,6,1,0,,,,,
3,4 weeks,Pasteuria,Freezer,500,White,2B,5,0,0,,,,,
3,4 weeks,Pasteuria,Freezer,500,White,3A,6,0,0,,,,,
3,4 weeks,Pasteuria,Freezer,500,White,3B,6,0,0,,,,,
3,4 weeks,Pasteuria,Freezer,500,White,4A,6,0,0,,,,,
3,4 weeks,Pasteuria,Freezer,500,White,4B,6,0,0,,,,,
3,4 weeks,Pasteuria,Freezer,500,White,5A,6,0,0,,,,,
3,4 weeks,Pasteuria,Freezer,500,White,5B,6,0,0,,,,,
3,4 weeks,Pasteuria,Freezer,2000,Pink,1A,6,2,0,,,,,
3,4 weeks,Pasteuria,Freezer,2000,Pink,1B,6,1,0,,,,,
3,4 weeks,Pasteuria,Freezer,2000,Pink,2A,6,0,0,,,,,
3,4 weeks,Pasteuria,Freezer,2000,Pink,2B,6,0,0,,,,,
3,4 weeks,Pasteuria,Freezer,2000,Pink,3A,6,1,0,,,,,
3,4 weeks,Pasteuria,Freezer,2000,Pink,3B,6,0,0,,,,,
3,4 weeks,Pasteuria,Freezer,2000,Pink,4A,6,0,0,,,,,
3,4 weeks,Pasteuria,Freezer,2000,Pink,4B,6,0,0,,,,,
3,4 weeks,Pasteuria,Freezer,2000,Pink,5A,6,0,0,,,,,
3,4 weeks,Pasteuria,Freezer,2000,Pink,5B,6,1,0,,,,,
4,2 months,Metsch,Fridge,250,Red,1A,6,0,0,,,,,
4,2 months,Metsch,Fridge,250,Red,1B,6,1,0,,,,,
4,2 months,Metsch,Fridge,250,Red,2A,6,0,0,,,,,
4,2 months,Metsch,Fridge,250,Red,2B,6,0,0,,,,,
4,2 months,Metsch,Fridge,250,Red,3A,6,0,0,,,,,
4,2 months,Metsch,Fridge,250,Red,3B,6,1,0,,,,,
4,2 months,Metsch,Fridge,1000,Orange,1A,6,1,0,,,,,
4,2 months,Metsch,Fridge,1000,Orange,1B,6,1,0,,,,,
4,2 months,Metsch,Fridge,1000,Orange,2A,6,1,0,,,,,
4,2 months,Metsch,Fridge,1000,Orange,2B,6,0,0,,,,,
4,2 months,Metsch,Fridge,1000,Orange,3A,6,1,0,,,,,
4,2 months,Metsch,Fridge,1000,Orange,3B,6,2,0,,,,,
4,2 months,Pasteuria,Fridge,500,Blue,1A,6,0,0,,,,,
4,2 months,Pasteuria,Fridge,500,Blue,1B,6,0,0,,,,,
4,2 months,Pasteuria,Fridge,500,Blue,2A,6,0,0,,,,,
4,2 months,Pasteuria,Fridge,500,Blue,2B,6,2,0,,,,,
4,2 months,Pasteuria,Fridge,500,Blue,3A,6,0,0,,,,,
4,2 months,Pasteuria,Fridge,500,Blue,3B,6,0,0,,,,,
4,2 months,Pasteuria,Fridge,500,Blue,4A,6,3,0,,,,,
4,2 months,Pasteuria,Fridge,500,Blue,4B,6,1,0,,,,,
4,2 months,Pasteuria,Fridge,500,Blue,5A,6,1,0,,,,,
4,2 months,Pasteuria,Fridge,500,Blue,5B,6,0,0,,,,,
4,2 months,Pasteuria,Fridge,2000,Green,1A,6,2,0,,,,,
4,2 months,Pasteuria,Fridge,2000,Green,1B,6,3,0,,,,,
4,2 months,Pasteuria,Fridge,2000,Green,2A,6,5,0,,,,,
4,2 months,Pasteuria,Fridge,2000,Green,2B,6,1,0,,,,,
4,2 months,Pasteuria,Fridge,2000,Green,3A,6,1,0,,,,,
4,2 months,Pasteuria,Fridge,2000,Green,3B,6,2,0,,,,,
4,2 months,Pasteuria,Fridge,2000,Green,4A,6,0,0,,,,,
4,2 months,Pasteuria,Fridge,2000,Green,4B,6,0,0,,,,,
4,2 months,Pasteuria,Fridge,2000,Green,5A,6,1,0,,,,,
4,2 months,Pasteuria,Fridge,2000,Green,5B,6,2,0,,,,,
4,2 months,Pasteuria,Freezer,500,White,1A,6,0,0,,,,,
4,2 months,Pasteuria,Freezer,500,White,1B,6,2,0,,,,,
4,2 months,Pasteuria,Freezer,500,White,2A,6,0,0,,,,,
4,2 months,Pasteuria,Freezer,500,White,2B,6,0,0,,,,,
4,2 months,Pasteuria,Freezer,500,White,3A,6,1,0,,,,,
4,2 months,Pasteuria,Freezer,500,White,3B,6,1,0,,,,,
4,2 months,Pasteuria,Freezer,500,White,4A,6,2,0,,,,,
4,2 months,Pasteuria,Freezer,500,White,4B,6,2,0,,,,,
4,2 months,Pasteuria,Freezer,500,White,5A,6,3,0,,,,,
4,2 months,Pasteuria,Freezer,500,White,5B,6,0,0,,,,,
4,2 months,Pasteuria,Freezer,2000,Pink,1A,6,0,0,,,,,
4,2 months,Pasteuria,Freezer,2000,Pink,1B,6,1,0,,,,,
